=== SIMULATION PARAMETERS ===
Population Size,100
Mutation Rate,0.1
Generation Time (seconds),60
Elite Count,2

=== GENERATION DATA ===
Generation,Best Fitness,Average Fitness
1,26.4,-11.062
2,25.6,2.172
3,89.71667,7.115666
4,128.6167,10.68383
5,149.1833,16.346
6,236.6333,23.1535
7,280.0833,33.56467
8,282.0833,54.31367
9,304.4,82.8525
10,584.0333,129.4658
11,933.1166,163.8647
12,964.2167,217.8212
13,964.0167,285.811
14,891.2,344.4638
15,1054.4,431.2052
16,948.4667,393.8813
17,1073.267,451.7502
18,1084.083,501.3003
19,1084.083,536.2202
20,1094.483,470.683
21,1094.283,522.4243
22,1094.283,543.5803
23,1073.283,537.1845
24,1082.2,598.0522
25,1103.833,560.2405
26,1083.533,546.4203
27,1164.8,583.835
28,1164.9,544.8572
29,1038.833,456.3187
30,1193.333,452.1687
